Пор.No,Арт.No,Име,Прод.цена
1,1,Shokolad Milka 100 g mlechen,1.04
2,2,Orehovki Mechta 100gr,1.29
3,3,Orehovka slepena 50gr,0.65
4,188,Gornooryahovski dqdo Rodopa,15.69
5,9662,Kebapche 40br/70gr Tsar Par ,12
6,214,Ambarica Eko mes ,9.23
7,502,Teleshka pastarma m.r.Sevlievo,22.37
8,503,sudjuk Stefmark Gornoorqhovski,15.37
9,504,lukanka malka  Orehite ,17.72
10,505,Kashkaval ot krave mlqko Domlqn triagalen,8.88
11,506,Sushenica Orehite ,15.64
12,507,Sushenica Stefanov kg,14.52
13,508,Portokali  Cordero kg,1.8
14,512,Selska nadenica Bozmov vakuum,11.66
15,513,Teleshki sudjuk Stefanov kg,17.5
16,514,Dobrudjanski Sudjuk Orehite,16.65
17,515,Lukankov Mech Bozmov,11.66
18,516,Teleshki Rog Bozmov kg vezna,13.5
19,517,Smqdovski dqdo Bozmov kg,12.2
20,29,Magdanoz st,0.99
21,520,Varena nadenica Bozmov ,3.45
22,1259,Hamburgski salam Nashe Selo,3.71
23,2000,Eko Mes shpek Burgas,5.35
24,2002,Eko Mes suh shpek kg,5.35
25,2012,Teleshki sudjuk vak Eko Mes,14.31
26,2013,Teleshki shpek Eko Mes kg,9.01
27,2017,Teleshko shkembe Eko Mes kg,6.86
28,2060,Zakuska traen kolbas Eko Mes kg,7.47
29,2062,Lukanka chervena kusa vak Eko Mes kg,11.71
30,2063,Lukanka gastro Eko Mes dulga,11.63
31,2068,Smqdovska lukanka Eko Mes kg,9.33
32,2069,Teleshka ambarica Eko Mes kg ,11.31
33,2077,Teleshka lukanka Eko Mes vakuum kg,11.45
34,2078,Teleshka Ambarica Eko Mes  Gastro,10.67
35,5871,Belana salfetki beli ,0.59
36,2094,Dobrudjanska sushenica Eko Mes vakuum kg,12.72
37,2120,Ambarica lukankov kolbas Eko Mes  kusa,9.23
38,2122,Svinski ezik Eko Mes kg,6.87
39,2149,Stara planina Eko Mes kg ,9.65
40,5001,Baklavichki Lyubimka 300 g / 12br,1.45
41,5002,Biskviti Navona s fastuchen krem 200gr Pobeda,1.53
42,5003,Bishkoti Janeta 150g,1.07
43,5004,Bishkoti Janeta 200g,1.22
44,5006,Bishkoti Janeta fastak 200g/14br,1.37
45,5007,Bishkoti Janeta shokolad 200g,1.37
46,5008,Bishkoti Negarche s krem kakao 160g/24br,1.19
47,5009,Bishkoti Negarche shokolad 160g/24br,1.22
48,5010,Bishkoti Negarche mlechen krem 160g/24br,1.19
49,5011,Bishkoti Janeta bql shokolad 200g,1.37
50,5012,Biskviti Aneliq kakao 200g/30br,1.25
51,5013,Biskviti Aneliq mlqko kafqva 200g/20br,1.25
52,5014,Biskviti Aneliq sinq 200g/30br,1.25
53,5015,Chaeni biskviti kakao Kristal 150g/35br,0.6
54,5016,Chaeni biskviti karamel Kristal 150g/35br,0.6
55,5017,Chaeni biskviti Kristal 150g/35br Pobeda,0.6
56,5018,Chaeni biskviti vaniliq Kristal 150g/35br,0.6
57,5019,Chaeni biskviti malina Kristal 150g/35br,0.6
58,5020,Chaeni biskviti med i maslo 220g/30br,0.71
59,5021,Chaeni biskviti portokal Kristal 150g/35br,0.6
60,5022,Chaeni biskviti qgoda Kristal 150g/35br,0.59
61,5023,Chaeni biskviti smetana Kristal 150g/35br,0.6
62,5024,Chaeni biskviti smetana Pobeda 200g/30br,0.69
63,5027,Biskviti Chipikao Minioni 50gr/12br,0.45
64,1264,Teleshki kolbas Nashe Selo,3.71
65,5029,Biskviti Choco mlechen krem Sweet+ 72gr/12br,0.42
66,5030,Biskviti Chizi Ulker 65g/24br,0.27
67,5031,Biskviti Chizi Ulker mini 42g/36br,0.27
68,5032,Biskviti Cornet Ozmo,0.27
69,5033,Biskviti Detska zakuska Sweet+ 150g,0.88
70,5034,Biskviti Detska zakuska qbalkov cvqt 170gr,0.8
71,5035,Biskviti Detski Madagaskar 300gr,1
72,5036,Biskviti Djam bi gorski plod 170gr/24br,1.13
73,5037,Biskviti Doma Amenita 280g/6br,1.22
74,5038,meden linzer mini sho key 265gr,1.15
75,5039,Biskviti Doma Bianka 280g,1.22
76,5040,Biskviti Doma kaisiq 280g/6br,1.22
77,5041,Biskviti Doma Nejna praskova 280g,1.22
78,5042,Biskviti Doma portokalova svejest,1.22
79,5043,Biskviti Doma Stela 280g,1.22
80,5044,B-ti Doma Zlatna qbalka 280g/6br,1.22
81,5045,B-ti domashni 230g/12br Sweet+,1.22
82,5046,B-ti domashni 350gr/8br Sweet+,1.42
83,5047,B-ti domashni shpric leshnik slavqnka,1.19
84,5048,B-ti domashni shpric slavqnka  170gr,0.96
85,5049,B-ti eckeip zvezda bifa 180g/4/14,0.6
86,5050,B-ti Emi kakaov krem Sweet+ 200g/24br,0.97
87,5051,B-ti Emi kakaov mlechen krem  Sweet+ 200gr,0.97
88,5052,B-ti Esenni lista 280gr Sweet+,1.43
89,5053,B-ti Esenni lista kakao 280gr/12br Sweet+,1.42
90,5054,B-ti Everest orehovka 220gr/30br,0.74
91,5055,B-ti Everest kakao 210gr/30br,0.74
92,5056,B-ti Everest maslo 220gr/30br,0.74
93,5057,B-ti Everest mlqko 220gr/30br,0.74
94,5058,B-ti Favori Ulker 88gr/24br,0.43
95,5059,B-ti fregata kakao Pobeda 175gr/32br,0.91
96,5060,B-ti fregada qgoda Pobeda 175gr/32br,0.91
97,5061,B-ti fregada vaniliq Pobeda 175gr/32br,0.91
98,5062,B-ti Frukta s marmalad 60gr/20br,0.35
99,5063,B-ti Gerberi kakao Max Sweet+ 320gr/12br,1.36
100,5064,B-ti Gerberi kakao Sweet+ 190gr,0.91
101,5065,B-ti Gerberi Oreh Sweet+ 190gr/24br,0.91
102,5066,B-ti Gerberi vaniliq Sweet+ 190gr/24br,0.89
103,5067,B-ti Halk marshmallow kakao 12 240gr/12br,1.12
104,5068,B-ti Halk marshmallow kakao 216gr/12br,1.13
105,5069,B-ti Heyo s krem 2-ka 22g/24br,0.21
106,5070,B-ti Holiday 30gr/26br Karmela,0.21
107,5071,B-ti Holiday 8gr/36br,0.11
108,5072,B-ti Holiday Nestle 15gr/36br,0.14
109,5073,B-ti Holiday Nestle 30gr/36br,0.21
110,5074,B-ti Holiday max 30gr/36br,0.22
111,5075,B-ti Hoppo Ozmo shokoladov krem 40g/12br,0.5
112,5076,B-ti Jambi qgoda Sweet+ 170gr/24br,1.1
113,5077,B-ti Jiten dar obiknoveni Nestle 120g/24br,0.45
114,5078,B-ti Jiten dar obiknoveni Nestle 230gr/16br,0.74
